Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
P18754;RCC1;9606;P04637;TP53;9606;0.332;21900206 
P15559;NQO1;9606;P04637;TP53;9606;0.523;26540344 12529318 26078718 14634213 
P18887;XRCC1;9606;P04637;TP53;9606;0.376;15044383 
Q96KQ4;PPP1R13B;9606;P41219;PRPH;9606;0.236;unassigned1304 
P16220;CREB1;9606;P04637;TP53;9606;0.811;21295542 16611888 25241761 10848610 
P41235;HNF4A;9606;P04637;TP53;9606;0.396;11818510 28514442 
Q13625;TP53BP2;9606;P17031;ZNF26;9606;0.454;25416956 
Q8IUQ4;SIAH1;9606;Q13625;TP53BP2;9606;0.636;25416956 21988832 
Q13625;TP53BP2;9606;O43255;SIAH2;9606;0.702;23644657 
Q8IW35;CEP97;9606;Q13625;TP53BP2;9606;0.236;26638075 
Q13625;TP53BP2;9606;O75901;RASSF9;9606;0.416;24366813 
Q96KQ4;PPP1R13B;9606;O75901;RASSF9;9606;0.416;24366813 
Q13625;TP53BP2;9606;O43295;SRGAP3;9606;0.236;26186194 28514442 
Q96KQ4;PPP1R13B;9606;O43295;SRGAP3;9606;0.236;26186194 28514442 
Q96KQ4;PPP1R13B;9606;Q8NHY3;GAS2L2;9606;0.236;unassigned1304 
P04637;TP53;9606;O43638;FOXS1;9606;0.236;25609649 
P42345;MTOR;9606;P04637;TP53;9606;0.376;19619545 
Q96KQ4;PPP1R13B;9606;B9EK46;CGN {ECO:0000313|EMBL:AAI50605.1};9606;0.236;unassigned1304 
P04637;TP53;9606;O43847;NRD1;9606;0.416;22653443 
P49761;CLK3;9606;P04637;TP53;9606;0.236;23602568 
P35226;BMI1;9606;P04637;TP53;9606;0.376;22907436 24039897 
P04637;TP53;9606;O15047;SETD1A;9606;0.636;23870121 
P30405;PPIF;9606;P04637;TP53;9606;0.659;22726440 
P30419;NMT1;9606;P04637;TP53;9606;0.376;16530191 
Q8N0Z3;SPICE1;9606;P04637;TP53;9606;0.236;26638075 
P35232;PHB;9606;P04637;TP53;9606;0.748;24380853 14500729 20134482 16319068 
P04637;TP53;9606;O15169;AXIN1;9606;0.731;23826318 21057547 
P04637;TP53;9606;O60936;NOL3;9606;0.454;18087040 
Q8N680;ZBTB2;9606;P04637;TP53;9606;0.454;19380588 
Q13625;TP53BP2;9606;A6NK89;RASSF10;9606;0.236;24366813 
Q96KQ4;PPP1R13B;9606;A6NK89;RASSF10;9606;0.236;24366813 
Q96KQ4;PPP1R13B;9606;O75145;PPFIA3;9606;0.236;unassigned1304 
Q8TAF3;WDR48;9606;P04637;TP53;9606;0.236;19615732 
Q96KQ4;PPP1R13B;9606;O15350;TP73;9606;0.454;14729977 
P04637;TP53;9606;O15353;FOXN1;9606;0.236;25609649 
Q13625;TP53BP2;9606;P31946;YWHAB;9606;0.236;24255178 
Q96KQ4;PPP1R13B;9606;Q8N6V9;TEX9;9606;0.236;unassigned1304 
Q96I51;WBSCR16;9606;O75414;NME6;9606;0.539;21988832 27499296 27667664 
P31947;SFN;9606;P04637;TP53;9606;0.872;20206173 21625211 17546054 11896572 14517281 
Q13625;TP53BP2;9606;P62993;GRB2;9606;0.454;25416956 
P04637;TP53;9606;O00629;KPNA4;9606;0.454;19927155 
